Gene_ID,Gene_Symbol,BP_Feature1,BP_Feature2,BP_Feature3,MF_Feature1,MF_Feature2,MF_Feature3,CC_Feature1,CC_Feature2,CC_Feature3
ENSG00000204065,TCEAL5,regulation of transcription,dna repair,rna polymerase ii proximal promoter escape,protein binding,sequence-specific dna binding,chromatin binding,nucleus,nucleoplasm,nuclear speckles
ENSG00000111641,NOP2,rrna methylation,ribosomal large subunit assembly,regulation of signal transduction,s-adenosylmethionine-dependent methyltransferase activity,rrna (cytosine-c5-)-methyltransferase activity,rna binding,nucleolus,nucleus,nucleoplasm
ENSG00000108518,PFN1,regulation of transcription by rna polymerase ii,negative regulation of actin filament polymerization,positive regulation of actin filament bundle assembly,actin binding,phosphatidylinositol-4,-bisphosphate binding,focal adhesion,cell cortex,cytoskeleton
ENSG00000127334,DYRK2,regulation of signal transduction,positive regulation of glycogen biosynthetic process,intrinsic apoptotic signaling pathway in response to dna damage,protein serine/threonine kinase activity,histone h2axy142 kinase activity,atp binding,nucleus,cytoskeleton,ubiquitin ligase complex
ENSG00000153048,CARHSP1,mrna stability regulation,signal transduction pathway regulation,intracellular signaling cascade,mrna 3'-utr binding,protein binding,rna binding,p-body,cytoplasm,cytosol
ENSG00000153879,CEBPG,regulation of transcription by rna polymerase ii,positive regulation of type ii interferon production,negative regulation of dna-binding transcription factor activity,dna-binding transcription factor binding,sequence-specific double-stranded dna binding,rna polymerase ii cis-regulatory region sequence-specific dna binding,nucleus,chromatin,rna polymerase ii transcription regulator complex
ENSG00000183421,RIPK4,positive regulation of nf-kappab transcription factor activity,chromatin remodeling,morphogenesis of an epithelium,histone h3s10 kinase activity,histone h2as1 kinase activity,atp binding,cytoplasm,membrane,nucleus
ENSG00000169100,SLC25A6,mitochondrial atp transmembrane transport,negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,apoptotic process,atp:adp antiporter activity,protein binding,antiporter activity,mitochondrion,mitochondrial inner membrane,nucleus
ENSG00000080561,MID2,positive regulation of nf-kappab transcription factor activity,positive regulation of dna-templated transcription,protein ubiquitination,transcription coactivator activity,metal ion binding,zinc ion binding,cytoplasm,microtubule,extracellular exosome
ENSG00000167768,KRT1,negative regulation of inflammatory response,intermediate filament organization,angiogenesis,protein binding,carbohydrate binding,signaling receptor activity,keratin filament,cytoskeleton,extracellular exosome
ENSG00000111786,SRSF9,negative regulation of mrna splicing,alternative mrna splicing,mrna processing,rna binding,protein domain specific binding,pre-mrna binding,nucleus,nucleolus,nuclear speck
ENSG00000103710,RASL12,cell cycle regulation,signal transduction,cell proliferation,gtpase activity,gtp binding,protein binding,plasma membrane,endoplasmic reticulum,cytosol
ENSG00000179409,GEMIN4,mrna processing,rrna processing,spliceosomal snrnp assembly,ribonucleoprotein complex binding,protein binding,rna polymerase ii transcription factor binding,nucleolus,smn complex,nucleus
ENSG00000164056,SPRY1,negative regulation of ras protein signal transduction,establishment of mitotic spindle orientation,negative regulation of erk1 and erk2 cascade,protein binding,receptor tyrosine kinase inhibitor activity,signaling molecule binding,plasma membrane,golgi apparatus,cytosol
ENSG00000164754,RAD21,negative regulation of interleukin-1 beta production,negative regulation of tumor necrosis factor production,regulation of transcription by rna polymerase ii,dna binding,protein binding,chromatin binding,mitotic cohesin complex,chromosome,nucleus
ENSG00000083290,ULK2,negative regulation of autophagy,autophagosome assembly,protein autophosphorylation,histone h2axs139 kinase activity,histone h3t45 kinase activity,histone h3t6 kinase activity,autophagosome membrane,phagophore assembly site,cytoplasm
ENSG00000175224,ATG13,regulation of autophagy,positive regulation of autophagosome assembly,piecemeal microautophagy of the nucleus,protein kinase regulator activity,protein serine/threonine kinase activator activity,protein binding,autophagosome,phagophore assembly site membrane,mitochondrion
ENSG00000180549,FUT7,regulation of leukocyte tethering or rolling,lymphocyte migration into lymph node,positive regulation of immune response,alpha-(1->3)-fucosyltransferase activity,glycosyltransferase activity,protein binding,golgi apparatus,trans-golgi network,membrane
ENSG00000284832,POLR2A,regulation of transcription by rna polymerase ii,dna-templated transcription,positive regulation of transcription from rna polymerase ii promoter,dna-directed rna polymerase activity,magnesium ion binding,zinc ion binding,nuclear lumen,chromosome,rna polymerase ii
ENSG00000113719,ERGIC1,vesicle-mediated transport,retrograde vesicle-mediated transport,er to golgi vesicle-mediated transport,protein binding,receptor tyrosine kinase activity,signal transduction,endoplasmic reticulum-golgi intermediate compartment membrane,copii-coated er to golgi transport vesicle,endoplasmic reticulum
ENSG00000153157,SYCP2L,meiotic recombination checkpoint signaling,dna repair,chromosome segregation,dna binding,heterochromatin binding,protein dimerization,chromosome,mitotic spindle,nucleus
ENSG00000167996,FTH1,negative regulation of cell population proliferation,negative regulation of ferroptosis,intracellular iron ion homeostasis,ferrous iron binding,ferric iron binding,ferroxidase activity,autolysosome,lysosome,autophagosome
ENSG00000063244,U2AF2,negative regulation of protein ubiquitination,mrna splicing,via spliceosome,poly-pyrimidine tract binding,pre-mrna 3'-splice site binding,rna binding,spliceosomal complex,u2-type prespliceosome,nucleus
ENSG00000008128,CDK11A,regulation of mrna processing,regulation of cell cycle,apoptotic process,cyclin-dependent protein serine/threonine kinase activity,protein serine/threonine kinase activity,atp binding,nucleus,cytoplasm,nucleolus
ENSG00000163660,CCNL1,regulation of cell cycle,regulation of transcription by rna polymerase ii,regulation of apoptotic process,cyclin-dependent protein serine/threonine kinase regulator activity,protein binding,dna binding,nucleus,nuclear speck,cyclin-dependent protein kinase holoenzyme complex
ENSG00000122779,TRIM24,regulation of gene expression,negative regulation of dna-templated transcription,protein ubiquitination,ubiquitin-protein transferase activity,estrogen response element binding,nuclear receptor binding,nucleus,euchromatin,nucleoplasm
ENSG00000183048,SLC25A10,gluconeogenesis,oxaloacetate transport,succinate transmembrane transport,oxaloacetate transmembrane transporter activity,succinate transmembrane transporter activity,dicarboxylic acid transmembrane transporter activity,mitochondrion,mitochondrial inner membrane,nucleus
ENSG00000011451,WIZ,regulation of transcription by rna polymerase ii,positive regulation of nuclear cell cycle dna replication,protein stabilization,dna-binding transcription factor activity,rna polymerase ii-specific,rna polymerase ii cis-regulatory region sequence-specific dna binding,nucleus,nucleoplasm,midbody
ENSG00000280962,DUSP16,regulation of transcription by rna polymerase ii,negative regulation of mapk cascade,chromatin remodeling,rna polymerase ii ctd heptapeptide repeat t4 phosphatase activity,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity,calmodulin-dependent protein phosphatase activity,nucleus,nucleoplasm,cytoplasm
ENSG00000132780,NASP,dna replication,chromatin assembly,nucleosome organization,histone binding,protein dimerization,atp binding,chromatin,nucleus,nucleoplasm
ENSG00000100065,CARD10,positive regulation of canonical nf-kappab signal transduction,regulation of apoptotic process,activation of nf-kappab-inducing kinase activity,signaling receptor complex adaptor activity,protein binding,activation of nf-kappab-inducing kinase activity,cytoplasm,immunological synapse,cbm complex
ENSG00000113141,IK,mitotic spindle assembly checkpoint signaling,mrna splicing,via spliceosome,identical protein binding,protein binding,helicase activity,nuclear chromosome,u2-type precatalytic spliceosome,kinetochore
ENSG00000130119,GNL3L,negative regulation of protein ubiquitination,negative regulation of telomere maintenance via telomerase,positive regulation of protein-containing complex assembly,gtp binding,rna binding,protein binding,nucleus,telomerase holoenzyme complex,nucleolus
ENSG00000143632,ACTA1,response to steroid hormone,muscle contraction,cellular response to potassium ion,myosin binding,atp binding,protein binding,actin filament,actin cytoskeleton,stress fiber
ENSG00000075618,FSCN1,regulation of cell migration,positive regulation of cell adhesion,cytoskeleton organization,actin filament binding,cadherin binding,protein-macromolecule adaptor activity,filopodium,microvillus,focal adhesion
ENSG00000185359,HGS,regulation of map kinase activity,positive regulation of exosomal secretion,negative regulation of angiogenesis,ubiquitin binding,ubiquitin-like protein ligase binding,kinase activity,early endosome membrane,multivesicular body membrane,lysosome
ENSG00000204673,AKT1S1,regulation of apoptotic process,negative regulation of cell size,negative regulation of torc1 signaling,protein serine/threonine kinase inhibitor activity,protein binding,protein kinase inhibitor activity,torc1 complex,cytoplasm,nucleoplasm
ENSG00000198682,PAPSS2,purine nucleoside bisphosphate biosynthetic process,ribonucleoside bisphosphate biosynthetic process,sulfate assimilation,sulfate adenylyltransferase (atp) activity,kinase activity,nucleotidyltransferase activity,cytosol,nucleus,membrane-bound organelle
ENSG00000196730,DAPK1,regulation of apoptosis,positive regulation of autophagy,regulation of translation,histone h3s10 kinase activity,histone h2axs139 kinase activity,atp binding,actin cytoskeleton,nucleus,postsynaptic density
ENSG00000125775,SDCBP2,cell population proliferation,intracellular signal transduction,nervous system development,protein heterodimerization activity,phosphatidylinositol-4,-bisphosphate binding,plasma membrane,nucleus,nucleolus
ENSG00000012223,LTF,regulation of tumor necrosis factor production,positive regulation of nf-kappab transcription factor activity,negative regulation of osteoclast development,protein serine/threonine kinase activator activity,iron ion binding,cysteine-type endopeptidase inhibitor activity,secretory granule,extracellular exosome,specific granule lumen
ENSG00000088986,DYNLL1,negative regulation of dna strand resection,apoptotic process,intraciliary retrograde transport,deoxynuclease inhibitor activity,dynein intermediate chain binding,protein binding,microtubule cytoskeleton,mitotic spindle,kinetochore
ENSG00000105357,MYH14,regulation of cell shape,actomyosin structure organization,skeletal muscle contraction,actin filament binding,microfilament motor activity,cytoskeletal motor activity,extracellular exosome,myosin ii filament,none
ENSG00000184922,FMNL1,regulation of cell shape,cell migration,cytoskeleton organization,actin filament binding,small gtpase binding,protein binding,cell cortex,plasma membrane,phagocytic vesicle
ENSG00000174516,PELI3,protein k63-linked ubiquitination,negative regulation of tumor necrosis factor-mediated signaling pathway,innate immune response,ubiquitin protein ligase activity,protein binding,transferase activity,cytosol,membrane,signalosome
ENSG00000125845,BMP2,negative regulation of dna-templated transcription,positive regulation of mirna transcription,negative regulation of aldosterone biosynthetic process,bmp receptor binding,growth factor activity,cytokine activity,bmp receptor complex,plasma membrane,intracellular membrane-bounded organelle
ENSG00000132357,CARD6,regulation of apoptotic process,programmed cell death,cellular response to stress,protein binding,caspase complex assembly,receptor activity,cytosol,membrane-bound organelle,cytoplasm
ENSG00000134970,TMED7,protein transport,intracellular protein transport,vesicular transport,protein binding,transmembrane transporter activity,receptor binding,copii-coated er to golgi transport vesicle,golgi membrane,endoplasmic reticulum membrane
ENSG00000102076,OPN1LW,positive regulation of cytokinesis,detection of visible light,g protein-coupled receptor signaling pathway,g protein-coupled photoreceptor activity,g protein-coupled receptor activity,protein binding,photoreceptor disc membrane,plasma membrane,cell surface
ENSG00000126351,THRA,negative regulation of rna polymerase ii transcription preinitiation complex assembly,negative regulation of transcription by rna polymerase ii,regulation of transcription by rna polymerase ii,transcription cis-regulatory region sequence-specific dna binding,rna polymerase ii cis-regulatory region sequence-specific dna binding,zinc ion binding,nucleus,chromatin,rna polymerase ii transcription regulator complex
ENSG00000129654,FOXJ1,negative regulation of nf-kappab transcription factor activity,negative regulation of interleukin-6 production,positive regulation of dna-templated transcription,sequence-specific dna binding,dna-binding transcription factor activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,nucleus,chromatin,nuclear lumen
ENSG00000277594,DDX52,chromatin remodeling,ribosomal subunit biogenesis,cell cycle progression,atp-dependent h3-h4 histone complex chaperone activity,rna helicase activity,chromatin extrusion motor activity,nucleolus,nucleoplasm,nuclear membrane
ENSG00000132676,DAP3,apoptotic signaling pathway,apoptotic process,mitochondrial translation,rna binding,gtp binding,structural constituent of ribosome,mitochondrion,mitochondrial small ribosomal subunit,mitochondrial ribosome
ENSG00000158560,DYNC1I1,microtubule-based movement,vesicle transport along microtubule,transport along microtubule,microtubule motor activity,dynein heavy chain binding,microtubule binding,recycling endosome,kinetochore,microtubule
ENSG00000083750,RRAGB,regulation of tor signaling,positive regulation of torc1 signaling,cellular response to amino acid starvation,gtpase activity,gtp binding,membrane scission gtpase motor activity,lysosome,lysosomal membrane,gtr1-gtr2 gtpase complex
ENSG00000025039,RRAGD,positive regulation of torc1 signaling,cellular response to l-leucine,negative regulation of autophagy,membrane scission gtpase motor activity,gtp binding,gtpase activity,lysosome,nucleus,gtr1-gtr2 gtpase complex
ENSG00000137601,NEK1,chromatin remodeling,cell division,cilium assembly,histone h2as121 kinase activity,histone h3t3 kinase activity,histone h2at120 kinase activity,cytoskeleton,centrosome,nucleus
ENSG00000118058,KMT2A,regulation of dna-templated transcription,positive regulation of transcription by rna polymerase ii,transcription initiation-coupled chromatin remodeling,histone h3k4 trimethyltransferase activity,histone h3k4 monomethyltransferase activity,zinc ion binding,nucleus,mll1 complex,histone methyltransferase complex
ENSG00000133895,MEN1,negative regulation of cyclin-dependent protein serine/threonine kinase activity,negative regulation of transcription by rna polymerase ii,positive regulation of transcription by rna polymerase ii,transcription cis-regulatory region binding,double-stranded dna binding,r-smad binding,mll1 complex,nucleus,histone methyltransferase complex
ENSG00000150687,PRSS23,proteolysis,positive regulation of proteolysis,apoptotic signaling pathway,serine-type endopeptidase activity,serine-type peptidase activity,protein binding,extracellular exosome,endoplasmic reticulum lumen,nucleus
ENSG00000108679,LGALS3BP,immune response,signal transduction,vesicle transport,protein binding,scavenger receptor activity,carbohydrate binding,extracellular exosome,collagen-containing extracellular matrix,cell membrane
ENSG00000174807,CD248,positive regulation of fibroblast proliferation,endothelial cell apoptotic process,lymph node development,extracellular matrix protein binding,calcium ion binding,protein binding,extracellular exosome,external side of plasma membrane,extracellular matrix
ENSG00000129521,EGLN3,response to hypoxia,regulation of cell population proliferation,cellular response to hypoxia,hypoxia-inducible factor-proline dioxygenase activity,ferrous iron binding,peptidyl-proline 4-dioxygenase activity,nucleus,cytosol,cytoplasm
ENSG00000171314,PGAM1,glycolysis,gluconeogenesis,metabolic process,bisphosphoglycerate mutase activity,protein kinase binding,phosphoglycerate mutase activity,cytoplasm,membrane,extracellular region
ENSG00000002587,HS3ST1,glycosaminoglycan biosynthetic process,heparan sulfate proteoglycan biosynthetic process,cell adhesion,[heparan sulfate]-glucosamine 3-sulfotransferase activity,sulfotransferase activity,protein modification,golgi apparatus,golgi lumen,endoplasmic reticulum
ENSG00000128340,RAC2,regulation of t cell proliferation,positive regulation of neutrophil chemotaxis,regulation of mast cell degranulation,gtpase activity,protein binding,gtp binding,focal adhesion,mitochondrial outer membrane,phagocytic vesicle membrane
ENSG00000136848,DAB2IP,negative regulation of nf-kappab transcription factor activity,negative regulation of map kinase activity,positive regulation of jun kinase activity,protein serine/threonine kinase activator activity,mitogen-activated protein kinase kinase binding,vascular endothelial growth factor receptor 2 binding,dendrite,endocytic vesicle,none
ENSG00000198791,CNOT7,mirna-mediated gene silencing by mrna destabilization,deadenylation-dependent decay,positive regulation of nuclear-transcribed mrna catabolic process,'-5'-rna exonuclease activity,poly(a)-specific ribonuclease activity,rna exonuclease activity,p-body,nucleus,ccr4-not complex
ENSG00000132938,MTUS2,regulation of cell proliferation,mitotic cell cycle phase transition,response to dna damage stimulus,microtubule binding,protein homodimerization activity,protein-protein interaction,cytoplasmic microtubule,centrosome,nucleus
ENSG00000172005,MAL,positive regulation of extrinsic apoptotic signaling pathway via death domain receptors,protein insertion into plasma membrane,membrane raft polarization,lipid binding,peptidase activator activity involved in apoptotic process,protein binding,plasma membrane raft,apical plasma membrane,endoplasmic reticulum
ENSG00000089154,GCN1,regulation of translation,gcn2-mediated signaling,response to amino acid starvation,protein kinase regulator activity,stalled ribosome sensor activity,rna binding,cytosolic ribosome,ribosome,cytosol
ENSG00000173546,CSPG4,positive regulation of peptidyl-tyrosine phosphorylation,platelet-derived growth factor receptor signaling pathway,ruffle assembly,protein kinase binding,coreceptor activity,signal transducer activity,focal adhesion,lamellipodium membrane,apical plasma membrane
ENSG00000167526,RPL13,cytoplasmic translation,translation,bone development,structural constituent of ribosome,rna binding,protein binding,cytosolic ribosome,nucleolus,cytosolic large ribosomal subunit
ENSG00000137504,CREBZF,regulation of transcription by rna polymerase ii,positive regulation of transcription by rna polymerase ii,negative regulation of gene expression,dna-binding transcription factor activity,rna polymerase ii-specific,dna binding,nucleus,chromatin,rna polymerase ii transcription regulator complex
ENSG00000104635,SLC39A14,zinc ion import across plasma membrane,iron ion transmembrane transport,cadmium ion transmembrane transport,ferrous iron transmembrane transporter activity,zinc ion transmembrane transporter activity,monoatomic anion:monoatomic cation symporter activity,lysosomal membrane,endosome,basolateral plasma membrane
ENSG00000145425,RPS3A,negative regulation of apoptotic process,translational initiation,cytoplasmic translation,mrna 5'-utr binding,rna binding,structural constituent of ribosome,cytosolic ribosome,nucleolus,endoplasmic reticulum
ENSG00000120370,GORAB,positive regulation of smoothened signaling pathway,non-motile cilium assembly,hair follicle morphogenesis,protein binding,receptor tyrosine kinase activity,gtpase regulator activity,golgi apparatus,nucleoplasm,cytoplasm
ENSG00000124216,SNAI1,negative regulation of transcription by rna polymerase ii,regulation of transcription by rna polymerase ii,negative regulation of dna damage response,dna-binding transcription repressor activity,e-box binding,sequence-specific double-stranded dna binding,nucleus,pericentric heterochromatin,nucleoplasm
ENSG00000284161,EEF2K,positive regulation of synapse assembly,regulation of translation at postsynapse,myosin ii filament disassembly,elongation factor-2 kinase activity,protein serine/threonine kinase activity,calcium ion binding,dendritic spine,postsynaptic density,cytoplasm
ENSG00000167658,EEF2,positive regulation of translation,translational elongation,hematopoietic progenitor cell differentiation,gtp binding,ribosome binding,gtpase activity,ribosome,secretory granule lumen,nucleus
ENSG00000124588,NQO2,quinone catabolic process,metabolic process,response to oxidative stress,nad(p)h dehydrogenase (quinone) activity,fad binding,metal ion binding,cytosol,endoplasmic reticulum membrane,exosome
ENSG00000136011,STAB2,receptor-mediated endocytosis,angiogenesis,defense response to bacterium,low-density lipoprotein particle binding,hyaluronic acid binding,scavenger receptor activity,endocytic vesicle membrane,plasma membrane,cytosol
ENSG00000164022,AIMP1,regulation of glucagon secretion,response to virus,translation elongation,trna binding,protein homodimerization activity,gtpase binding,endoplasmic reticulum membrane,ribosome,nucleus
ENSG00000165629,ATP5F1C,proton motive force-driven atp synthesis,oxidative phosphorylation,atp biosynthetic process,proton-transporting atp synthase activity,rotational mechanism,atp hydrolysis activity,mitochondrial inner membrane,mitochondrial matrix,proton-transporting atp synthase complex
ENSG00000134884,ARGLU1,regulation of alternative mrna splicing,positive regulation of dna-templated transcription,rna splicing,pre-mrna binding,rna binding,protein binding,nucleus,chromosome,nucleoplasm
ENSG00000276111,SDCCAG8,regulation of cilium assembly,neuron migration,establishment of cell polarity,protein binding,receptor tyrosine kinase activity,signal transducer activity,photoreceptor cell cilium,ciliary basal body,cytoskeleton
ENSG00000065534,MYLK,positive regulation of wound healing,regulation of synaptic vesicle endocytosis,bleb assembly,myosin light chain kinase activity,protein serine/threonine kinase activity,actin binding,actin cytoskeleton,lamellipodium,cleavage furrow
ENSG00000106049,HIBADH,valine catabolic process,branched-chain amino acid catabolic process,metabolic process,nad binding,oxidoreductase activity,-hydroxyisobutyrate dehydrogenase activity,mitochondrion,mitochondrial matrix,cytosol
ENSG00000151746,BICD1,regulation of microtubule cytoskeleton organization,negative regulation of phospholipase c-activating g protein-coupled receptor signaling pathway,stress granule assembly,dynein intermediate chain binding,small gtpase binding,cytoskeletal anchor activity,cytoplasmic microtubule,secretory vesicle,trans-golgi network
ENSG00000176490,DIRAS1,positive regulation of map kinase activity,signal transduction,cell proliferation,gtpase activity,mitogen-activated protein kinase binding,protein binding,plasma membrane,endomembrane system,cytoplasm
ENSG00000114942,EEF1B2,translational elongation,response to stress,cell proliferation,protein binding,guanyl-nucleotide exchange factor activity,translation elongation factor activity,cytoplasm,endoplasmic reticulum,ribosome
ENSG00000047849,MAP4,establishment of spindle orientation,mitotic spindle organization,microtubule polymerization,microtubule binding,microtubule stabilizing activity,structural molecule activity,mitotic spindle,microtubule cytoskeleton,none
ENSG00000198612,COPS8,regulation of protein neddylation,protein deneddylation,activation of nf-kappab-inducing kinase activity,protein binding,ubiquitin-like modifier protein ligase activity,atp hydrolysis,cop9 signalosome,nucleus,cytoplasm
ENSG00000239789,MRPS17,translation,ribosomal biogenesis,mitochondrial translation,rrna binding,structural constituent of ribosome,protein binding,mitochondrial small ribosomal subunit,mitochondrion,ribonucleoprotein complex
ENSG00000137806,NDUFAF1,mitochondrial respiratory chain complex i assembly,mitochondrial electron transport,chaperone-mediated protein complex assembly,protein binding,unfolded protein binding,nadh dehydrogenase (ubiquinone) activity,mitochondrion,mitochondrial inner membrane,cytosol
ENSG00000243414,TICAM2,positive regulation of type i interferon production,positive regulation of toll-like receptor 4 signaling pathway,tram-dependent toll-like receptor 4 signaling pathway,signaling adaptor activity,molecular adaptor activity,protein binding,endosome membrane,endoplasmic reticulum,secretory granule membrane
ENSG00000160710,ADAR,negative regulation of protein kinase activity,negative regulation of post-transcriptional gene silencing by regulatory ncrna,adenosine to inosine editing,double-stranded rna adenosine deaminase activity,trna-specific adenosine deaminase activity,adenosine deaminase activity,nucleus,supraspliceosomal complex,cytosol
ENSG00000129562,DAD1,protein n-linked glycosylation,negative regulation of apoptotic process,apoptotic process,enzyme activator activity,receptor binding,protein disulfide isomerase activity,endoplasmic reticulum membrane,oligosaccharyltransferase complex,endoplasmic reticulum
ENSG00000160753,RUSC1,protein ubiquitination,proteasomal protein degradation,cellular response to stress,sh3 domain binding,protein heterodimerization activity,actin filament binding,endosome membrane,nuclear membrane,microtubule
ENSG00000090376,IRAK3,regulation of nf-kappab transcription factor activity,negative regulation of map kinase activity,myd88-dependent toll-like receptor signaling pathway,protein serine/threonine kinase activity,protein kinase binding,atp binding,plasma membrane,nucleus,cytoplasm
ENSG00000124444,ZNF576,regulation of transcription,dna-templated transcription,transcriptional regulation,dna binding,zinc ion binding,sequence-specific dna binding,nucleus,nucleoplasm,nuclear speckles
ENSG00000086991,NOX4,positive regulation of dna biosynthetic process,positive regulation of erk1 and erk2 cascade,cellular response to glucose stimulus,superoxide-generating nadph oxidase activity,nadph oxidase h202-forming activity,protein tyrosine kinase binding,nucleus,mitochondrion,focal adhesion
ENSG00000114739,ACVR2B,regulation of dna-templated transcription,negative regulation of transcription by rna polymerase ii,activin receptor signaling pathway,transforming growth factor beta receptor activity,type i,activin receptor activity,activin receptor complex,plasma membrane,cytoplasm
ENSG00000198836,OPA1,positive regulation of t-helper 17 cell lineage commitment,cristae formation,axonal transport of mitochondrion,membrane scission gtpase motor activity,cardiolipin binding,gtpase-dependent fusogenic activity,mitochondrial outer membrane,mitochondrion,axon cytoplasm
ENSG00000180879,SSR4,protein targeting to er,vesicle budding involved in transport,regulation of cellular protein localization,sec61 translocon complex binding,transmembrane transporter activity,integral component of membrane,endoplasmic reticulum lumen,ribosome-associated membrane,exosome membrane
ENSG00000153944,MSI2,regulation of translation,cell proliferation,response to stress,mrna binding,rna polymerase ii regulatory region sequence-specific dna binding,protein dimerization activity,cytoplasm,endoplasmic reticulum,nuclear speck
ENSG00000100266,PACSIN2,regulation of endocytosis,actin cytoskeleton organization,caveola assembly,phosphatidic acid binding,cadherin binding,cytoskeletal protein binding,early endosome,recycling endosome membrane,caveola
ENSG00000046651,OFD1,mitotic spindle assembly,negative regulation of fibroblast growth factor receptor signaling pathway,centriole replication,gamma-tubulin binding,alpha-tubulin binding,protein binding,centriole,microtubule cytoskeleton,motile cilium
ENSG00000113140,SPARC,regulation of cell morphogenesis,negative regulation of angiogenesis,positive regulation of endothelial cell migration,collagen binding,calcium ion binding,extracellular matrix structural constituent,platelet alpha granule,mitochondrion,endocytic vesicle lumen
ENSG00000154174,TOMM70,positive regulation of interferon-beta production,protein import into mitochondrial matrix,negative regulation of cell growth involved in cardiac muscle cell development,protein transmembrane transporter activity,mitochondrion targeting sequence binding,protein binding,mitochondrial outer membrane,tom complex,mitochondrion
ENSG00000077264,PAK3,regulation of actin filament polymerization,stimulatory c-type lectin receptor signaling pathway,ephrin receptor signaling pathway,histone h2axs139 kinase activity,histone h3t3 kinase activity,histone h2as121 kinase activity,postsynaptic density,plasma membrane,cytosol
ENSG00000142731,PLK4,positive regulation of centriole replication,centriole replication,cell cycle process,protein serine/threonine kinase activity,protein kinase activity,atp binding,centriole,cytoskeleton,nucleus
ENSG00000147403,RPL10,regulation of translation,negative regulation of transcription by rna polymerase ii,negative regulation of apoptotic process,structural constituent of ribosome,rna binding,protein binding,cytosolic large ribosomal subunit,cytosolic ribosome,ribosome
ENSG00000054118,THRAP3,regulation of alternative mrna splicing,positive regulation of transcription by rna polymerase ii,mrna stabilization,transcription coactivator activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,nuclear thyroid hormone receptor binding,nucleus,mediator complex,nuclear speck
ENSG00000182195,LDOC1,negative regulation of cell population proliferation,cellular response to lipopolysaccharide,maternal placenta development,protein binding,receptor ligand activity,dna binding,nucleus,nucleolus,chromatin
ENSG00000128016,ZFP36,regulation of mrna stability,deadenylation-dependent decay,mirna-mediated gene silencing,mrna 3'-utr au-rich region binding,mrna binding,protein kinase binding,cytoplasmic stress granule,p-body,nucleus
ENSG00000235941,HSPA1A,positive regulation of nf-kappab transcription factor activity,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,negative regulation of transcription by rna polymerase ii,atp hydrolysis activity,ubiquitin protein ligase binding,c3hc4-type ring finger domain binding,nucleus,endoplasmic reticulum,mitochondrion
ENSG00000121691,CAT,positive regulation of phosphatidylinositol 3-kinase/protein kinase b signal transduction,uv protection,triglyceride metabolic process,catalase activity,nadp binding,peroxidase activity,peroxisomal membrane,peroxisome,secretory granule lumen
ENSG00000189091,SF3B3,regulation of rna splicing,mrna splicing,via spliceosome,u2 snrna binding,nucleic acid binding,protein-containing complex binding,u2-type precatalytic spliceosome,nucleolus,nucleus
ENSG00000142657,PGD,pentose-phosphate shunt,oxidative branch of pentose phosphate pathway,d-gluconate metabolic process,nadp binding,phosphogluconate dehydrogenase (decarboxylating) activity,oxidoreductase activity,nucleus,cytoplasm,extracellular exosome
ENSG00000136783,NIPSNAP3A,mitophagy,regulation of apoptotic process,programmed cell death,protein-protein interaction,atp binding,ubiquitin protein ligase activity,nucleus,mitochondrial inner membrane,nucleoplasm
ENSG00000262993,KRT31,intermediate filament organization,epithelial cell differentiation,epidermis development,structural constituent of cytoskeleton,structural molecule activity,protein binding,extracellular exosome,intermediate filament,cytoskeleton
ENSG00000004700,RECQL,dna repair,replication fork processing,double-strand break repair via homologous recombination,single-stranded 3'-5' dna helicase activity,double-stranded dna helicase activity,atp binding,nucleus,chromosome,nucleoplasm
ENSG00000180198,RCC1,regulation of mitotic cell cycle,mitotic spindle assembly,regulation of chromosome condensation,guanyl-nucleotide exchange factor activity,small gtpase binding,nucleosomal dna binding,condensed nuclear chromosome,nucleus,chromatin
ENSG00000175602,CCDC85B,negative regulation of dna-templated transcription,negative regulation of cell growth,cell differentiation,delta-catenin binding,protein binding,cytoskeletal protein binding,cytoskeleton,nucleus,adherens junction
ENSG00000176896,TCEANC,regulation of transcription from rna polymerase ii promoter,regulation of gene expression,transcription elongation,dna-binding transcription factor activity,rna polymerase ii regulator activity,protein heterodimerization activity,nuclear speckles,nucleolus,chromatin
ENSG00000117020,AKT3,positive regulation of cell migration,positive regulation of vascular endothelial cell proliferation,positive regulation of tor signaling,histone h2bs14 kinase activity,histone h3s57 kinase activity,histone h3t45 kinase activity,cytoplasm,membrane,nucleus
ENSG00000091436,MAP3K20,regulation of mitotic metaphase/anaphase transition,positive regulation of mitotic dna damage checkpoint,cellular response to uv-b,map kinase kinase kinase activity,jun kinase kinase kinase activity,protein serine/threonine kinase activity,cytoplasm,nucleus,cytosol
ENSG00000115109,EPB41L5,positive regulation of focal adhesion assembly,post-transcriptional regulation of gene expression,positive regulation of epithelial cell migration,cytoskeletal protein binding,protein domain specific binding,protein binding,focal adhesion,cytoskeleton,adherens junction
